,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
366,Kia Cerato K3 1.6A (OPC),info.php?ID=952803&DL=3597,"$52,588 ","                                $6,490 /yrView models with similar depre ",08-Feb-2018(7yrs 1mth 22days COE left)                            ,"                                        20,880 km (7.3k /yr)                                     ",                                    	$238 /yr,"$21,200","1,591 cc                                    ","                                    1,295 kg                                    ",2017,Auto,"$12,458",95.3 kW (127 bhp),1,Mid-Sized Sedan,"Category
OPC Car, PARF Car, Premium Ad Car, Low Mileage Car "
367,Mercedes-Benz E-Class E200ML (COE till 06/2025),info.php?ID=952097&DL=2264,"$38,800 ","                                $8,550 /yr                            ",10-Aug-2005(4yrs 6mths 14days COE left)                            ,"                                        111,000 km (7.2k /yr)                                     ","                                    	$1,461 /yr","$74,629","1,796 cc                                    ","                                    1,530 kg                                    ",2005,Auto,"$57,422",120.0 kW (160 bhp),2,Luxury Sedan,"Category
COE Car, Premium Ad Car, Low Mileage Car "
368,Lexus RX270 (COE till 11/2030),info.php?ID=951643&DL=2425,N.A ,                                N.A                            ,10-Feb-2011(9yrs 11mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$2,002 /yr","$40,014","2,672 cc                                    ","                                    1,840 kg                                    ",2010,Auto,"$46,012",138.0 kW (185 bhp),3,SUV,"Category
COE Car, Premium Ad Car "
369,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),info.php?ID=944036&DL=2264,"$60,800 ","                                $6,080 /yr                            ",05-Jan-2011(10yrs  COE left)                            ,                                        N.A.                                     ,                                    	$620 /yr,N.A.,"1,390 cc                                    ","                                    1,285 kg                                    ",2010,Auto,"$24,811",118.0 kW (158 bhp),2,Sports Car,"Category
COE Car, Premium Ad Car, STA Evaluated Car "
370,BMW 2 Series 216i Active Tourer,info.php?ID=940279&DL=1351,"$100,800 ","                                $10,620 /yrView models with similar depre ",30-Nov-2018(7yrs 11mths 13days COE left)                            ,"                                        6,856 km (3.3k /yr)                                     ",                                    	$684 /yr,"$32,000","1,499 cc                                    ","                                    1,380 kg                                    ",2018,Auto,"$28,949",80.0 kW (107 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
371,Chevrolet Cruze 1.6A (COE till 04/2029),info.php?ID=939494&DL=2855,"$36,800 ","                                $4,390 /yr                            ",29-Dec-2009(8yrs 4mths 14days COE left)                            ,"                                        230,000 km (21k /yr)                                     ",                                    	$816 /yr,"$26,175","1,598 cc                                    ","                                    1,388 kg                                    ",2009,Auto,"$12,482",80.0 kW (107 bhp),2,Mid-Sized Sedan,"Category
COE Car "
372,Nissan Qashqai 1.2A DIG-T,info.php?ID=939422&DL=3750,"$49,800 ","                                $8,870 /yrView models with similar depre ",26-Oct-2015(4yrs 10mths 9days COE left)                            ,"                                        45,550 km (8.9k /yr)                                     ",                                    	$508 /yr,"$52,498","1,197 cc                                    ","                                    1,285 kg                                    ",2015,Auto,"$18,413",85.0 kW (113 bhp),3,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
373,BMW 3 Series 320i Luxury,info.php?ID=937104&DL=1111,"$179,800 ","                                $15,360 /yrView models with similar depre ",29-Sep-2020(9yrs 9mths 12days COE left)                            ,"                                        3,000 km                                     ","                                    	$1,210 /yr","$38,110","1,998 cc                                    ","                                    1,460 kg                                    ",2020,Auto,"$47,796",135.0 kW (181 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car "
374,Toyota Wish 1.8A (COE till 09/2023),info.php?ID=936229&DL=3357,"$21,555 ","                                $7,730 /yr                            ",29-Nov-2008(2yrs 9mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$1,166 /yr","$16,689","1,794 cc                                    ","                                    1,310 kg                                    ",2008,Auto,"$18,803",97.0 kW (130 bhp),3,MPV,"Category
COE Car "
375,Toyota Wish 1.8A,info.php?ID=932862&DL=3303,"$69,800 ","                                $10,310 /yrView models with similar depre ",05-Oct-2016(5yrs 9mths 18days COE left)                            ,"                                        61,806 km (14.7k /yr)                                     ",                                    	$976 /yr,"$55,201","1,798 cc                                    ","                                    1,360 kg                                    ",2016,Auto,"$19,955",105.0 kW (140 bhp),1,MPV,"Category
PARF Car "
376,Mercedes-Benz E-Class E250,info.php?ID=917116&DL=2429,"$93,800 ","                                $15,000 /yrView models with similar depre ",19-Jun-2015(4yrs 6mths 2days COE left)                            ,"                                        87,345 km (15.9k /yr)                                     ","                                    	$1,202 /yr","$75,000","1,991 cc                                    ","                                    1,680 kg                                    ",2014,Auto,"$46,713",155.0 kW (207 bhp),1,Luxury Sedan,"Category
PARF Car "
377,Mitsubishi ASX 2.0A,info.php?ID=910702&DL=3303,"$69,800 ","                                $9,300 /yrView models with similar depre ",19-Jul-2017(6yrs 7mths 2days COE left)                            ,"                                        33,658 km (9.9k /yr)                                     ","                                    	$1,210 /yr","$49,802","1,998 cc                                    ","                                    1,417 kg                                    ",2017,Auto,"$17,089",110.0 kW (147 bhp),1,SUV,"Category
PARF Car, Low Mileage Car "
378,Mercedes-Benz GLB-Class GLB200 AMG Line Premium Plus,info.php?ID=906187&DL=1428,"$199,988 ",                                N.A.                            ,N.A.                            ,                                        20 km                                     ,                                    	$586 /yr,New 10-yr COE,"1,332 cc                                    ",                                    N.A.                                    ,Auto,"$46,804", , , ,SUV,"Category
Imported Used Vehicle, COE Car, Low Mileage Car "
379,Mercedes-Benz E-Class E200,info.php?ID=897679&DL=2429,"$84,800 ","                                $14,650 /yrView models with similar depre ",20-Jan-2015(4yrs 1mth 3days COE left)                            ,"                                        118,240 km (20k /yr)                                     ","                                    	$1,202 /yr","$72,890","1,991 cc                                    ","                                    1,655 kg                                    ",2014,Auto,"$44,678",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
380,Toyota Noah Hybrid 1.8A X,info.php?ID=896121&DL=3511,"$129,800 ","                                $12,550 /yrView models with similar depre ",21-Feb-2020(9yrs 2mths 4days COE left)                            ,                                        N.A.                                     ,                                    	$974 /yr,"$37,500","1,797 cc                                    ","                                    1,610 kg                                    ",2019,Auto,"$33,529",100.0 kW (134 bhp),1,MPV,"Category
PARF Car, Almost New Car, Hybrid Cars "
381,Mercedes-Benz E-Class E220d AMG Line Premium Plus Night Edition,info.php?ID=952848&DL=2010,"$247,988 ",                                N.A.                            ,N.A.                            ,                                        50 km                                     ,"                                    	$1,734 /yr",New 10-yr COE,"1,950 cc                                    ",                                    N.A.                                    ,Auto,"$59,000", , , ,Luxury Sedan,"Category
Imported Used Vehicle, COE Car, Low Mileage Car "
382,Nissan Qashqai 1.2A DIG-T,info.php?ID=952815&DL=3597,"$64,588 ","                                $9,020 /yrView models with similar depre ",13-May-2017(6yrs 4mths 26days COE left)                            ,"                                        42,740 km (11.9k /yr)                                     ",                                    	$508 /yr,"$51,600","1,197 cc                                    ","                                    1,285 kg                                    ",2017,Auto,"$18,583",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
383,Mercedes-Benz GLE-Class GLE450 Coupe AMG 4MATIC,info.php?ID=952798&DL=3281,"$235,000 ","                                $29,010 /yrView models with similar depre ",01-Nov-2016(5yrs 10mths 15days COE left)                            ,"                                        39,493 km (9.6k /yr)                                     ","                                    	$2,382 /yr","$57,508","2,996 cc                                    ","                                    2,220 kg                                    ",2016,Auto,"$87,255",270.0 kW (362 bhp),2,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
384,Kia Cerato 1.6A EX,info.php?ID=952796&DL=3597,"$73,888 ","                                $8,220 /yrView models with similar depre ",08-Feb-2019(8yrs 1mth 22days COE left)                            ,"                                        22,588 km (12.2k /yr)                                     ",                                    	$738 /yr,"$23,568","1,591 cc                                    ","                                    1,287 kg                                    ",2018,Auto,"$13,737",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
385,Hyundai Avante 1.6A (COE till 03/2024),info.php?ID=952628&DL=3193,"$18,800 ","                                $5,810 /yr                            ",12-Mar-2009(3yrs 2mths 24days COE left)                            ,"                                        150,000 km (12.7k /yr)                                     ",                                    	$886 /yr,"$12,763","1,591 cc                                    ","                                    1,264 kg                                    ",2009,Auto,"$10,949",89.7 kW (120 bhp),4,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
386,Honda Stream 1.8A RSZ (COE till 10/2028),info.php?ID=952401&DL=3464,"$52,000 ","                                $6,650 /yr                            ",08-Oct-2008(7yrs 9mths 21days COE left)                            ,                                        N.A.                                     ,"                                    	$1,271 /yr","$32,279","1,799 cc                                    ","                                    1,370 kg                                    ",2008,Auto,"$18,116",103.0 kW (138 bhp),2,MPV,"Category
COE Car "
387,Honda Civic 1.8A (COE till 08/2023),info.php?ID=952101&DL=2291,"$24,800 ","                                $9,360 /yr                            ",11-Aug-2008(2yrs 7mths 25days COE left)                            ,"                                        146,003 km (11.8k /yr)                                     ","                                    	$1,271 /yr","$17,496","1,799 cc                                    ","                                    1,219 kg                                    ",2008,Auto,"$20,479",103.0 kW (138 bhp),3,Mid-Sized Sedan,"Category
COE Car "
388,BMW X3 xDrive28i Sunroof (New 10-yr COE),info.php?ID=950659&DL=2425,"$86,888 ","                                $8,680 /yr                            ",14-Apr-2011(10yrs  COE left)                            ,"                                        118,623 km (12.3k /yr)                                     ","                                    	$2,382 /yr",N.A.,"2,996 cc                                    ","                                    1,745 kg                                    ",2011,Auto,"$47,447",190.0 kW (254 bhp),3,SUV,"Category
COE Car, Premium Ad Car "
389,Hyundai Avante 1.6A S Sunroof (COE till 05/2029),info.php?ID=949552&DL=3464,"$41,800 ","                                $4,940 /yr                            ",13-Jul-2009(8yrs 5mths 15days COE left)                            ,                                        N.A.                                     ,                                    	$886 /yr,"$27,886","1,591 cc                                    ","                                    1,264 kg                                    ",2009,Auto,"$11,714",89.7 kW (120 bhp),6,Mid-Sized Sedan,"Category
COE Car "
390,Honda Civic 1.6M Si (COE till 03/2029),info.php?ID=947212&DL=1000,"$46,800 ","                                $5,640 /yr                            ",13-Nov-1991(8yrs 3mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,107 /yr","$25,525","1,590 cc                                    ",                                    N.A.                                    ,1991,Manual,"$15,891",More than 6, ,Hatchback,"Category
COE Car, Direct Owner Sale "
391,Honda Civic 1.6A VTi (COE till 06/2022),info.php?ID=947166&DL=1000,"$12,188 ","                                $8,300 /yr                            ",06-Jun-2007(1yr 5mths 20days COE left)                            ,"                                        152,000 km (11.2k /yr)                                     ","                                    	$1,036 /yr","$25,313","1,595 cc                                    ","                                    1,220 kg                                    ",2007,Auto,"$17,949",92.0 kW (123 bhp),5,Mid-Sized Sedan,"Category
COE Car, Direct Owner Sale "
392,Subaru Forester 2.0XT Sunroof,info.php?ID=947108&DL=1000,"$74,588 ","                                $10,760 /yrView models with similar depre ",20-Dec-2016(6yrs 3days COE left)                            ,"                                        84,500 km (21.2k /yr)                                     ","                                    	$1,210 /yr","$46,229","1,998 cc                                    ","                                    1,682 kg                                    ",2016,Auto,"$19,875",177.0 kW (237 bhp),2,SUV,"Category
PARF Car, Direct Owner Sale "
393,Honda Stream 1.8A (COE till 07/2022),info.php?ID=947077&DL=1000,"$12,888 ","                                $8,220 /yr                            ",12-Jul-2007(1yr 6mths 25days COE left)                            ,                                        N.A.                                     ,"                                    	$1,369 /yr","$26,237","1,799 cc                                    ","                                    1,350 kg                                    ",2007,Auto,"$16,983",103.0 kW (138 bhp),3,MPV,"Category
COE Car, Direct Owner Sale "
394,Mercedes-Benz 200E (COE till 08/2030),info.php?ID=947033&DL=1000,"$49,200 ","                                $5,070 /yr                            ",09-Jun-1992(9yrs 8mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,812 /yr","$32,914","1,996 cc                                    ",                                    N.A.                                    ,1992,Auto,"$44,762",3, ,Luxury Sedan,"Category
COE Car, Direct Owner Sale "
395,Jeep Renegade Limited 1.4A,info.php?ID=947032&DL=1000,"$80,800 ","                                $10,020 /yrView models with similar depre ",31-Aug-2017(6yrs 8mths 14days COE left)                            ,                                        N.A.                                     ,                                    	$608 /yr,"$51,000","1,368 cc                                    ","                                    1,395 kg                                    ",2017,Auto,"$25,107",103.0 kW (138 bhp),1,SUV,"Category
PARF Car, Direct Owner Sale "
396,Mitsubishi Evolution 10 GSR SST (COE till 05/2029),info.php?ID=947014&DL=1000,"$116,500 ","                                $13,770 /yr                            ",07-Aug-2009(8yrs 5mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,452 /yr","$39,563","1,998 cc                                    ","                                    1,625 kg                                    ",2008,Auto,"$55,794",217.0 kW (290 bhp),6,Sports Car,"Category
COE Car, Direct Owner Sale "
397,Volkswagen Golf GTI 5DR Sunroof (COE till 10/2030),info.php?ID=946993&DL=1000,"$75,500 ","                                $7,640 /yr                            ",03-Nov-2010(9yrs 10mths 15days COE left)                            ,"                                        139,000 km (13.7k /yr)                                     ","                                    	$1,313 /yr","$38,216","1,984 cc                                    ","                                    1,339 kg                                    ",2010,Auto,"$33,242",155.0 kW (207 bhp),2,Sports Car,"Category
COE Car, Direct Owner Sale "
398,Toyota Estima 2.4A Aeras,info.php?ID=946991&DL=1000,"$123,000 ","                                $13,320 /yrView models with similar depre ",16-Aug-2018(7yrs 7mths 30days COE left)                            ,"                                        48,000 km (20.5k /yr)                                     ","                                    	$1,638 /yr","$31,001","2,362 cc                                    ","                                    1,790 kg                                    ",2017,Auto,"$35,541",125.0 kW (167 bhp),1,MPV,"Category
PARF Car, Direct Owner Sale "
399,Land Rover Freelander 2 Si4 HSE,info.php?ID=937256&DL=2725,"$81,800 ","                                $15,810 /yrView models with similar depre ",30-May-2014(3yrs 5mths 13days COE left)                            ,"                                        32,788 km (5k /yr)                                     ","                                    	$1,212 /yr","$65,501","1,999 cc                                    ","                                    1,815 kg                                    ",2013,Auto,"$44,623",177.0 kW (237 bhp),1,SUV,"Category
PARF Car, Low Mileage Car "
400,BMW 5 Series 520i,info.php?ID=932211&DL=3357,"$145,800 ","                                $16,470 /yrView models with similar depre ",23-Feb-2018(7yrs 2mths 6days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$39,000","1,998 cc                                    ","                                    1,530 kg                                    ",2017,Auto,"$44,852",135.0 kW (181 bhp),1,Luxury Sedan,"Category
PARF Car "
401,BMW 6 Series 640i Cabriolet (New 10-yr COE),info.php?ID=922760&DL=3357,"$115,555 ","                                $11,550 /yr                            ",06-Aug-2011(10yrs  COE left)                            ,                                        N.A.                                     ,"                                    	$2,362 /yr",N.A.,"2,979 cc                                    ","                                    1,915 kg                                    ",2011,Auto,"$84,588",235.0 kW (315 bhp),5,Sports Car,"Category
COE Car "
402,Mercedes-Benz GLB-Class GLB200 Sport,info.php?ID=915317&DL=1428,"$165,988 ",                                N.A.                            ,N.A.                            ,                                        20 km                                     ,                                    	$586 /yr,New 10-yr COE,"1,332 cc                                    ",                                    N.A.                                    ,Auto,"$33,600", , , ,SUV,"Category
Imported Used Vehicle, COE Car, Low Mileage Car "
403,BMW 5 Series 528i,info.php?ID=910300&DL=2429,"$90,800 ","                                $15,410 /yrView models with similar depre ",28-May-2015(4yrs 5mths 11days COE left)                            ,"                                        134,432 km (24.2k /yr)                                     ","                                    	$1,210 /yr","$75,002","1,997 cc                                    ","                                    1,615 kg                                    ",2014,Auto,"$41,091",180.0 kW (241 bhp),1,Luxury Sedan,"Category
PARF Car "
404,Mercedes-Benz E-Class E200,info.php?ID=884667&DL=2429,"$84,800 ","                                $14,600 /yrView models with similar depre ",14-Jan-2015(4yrs 28days COE left)                            ,"                                        118,227 km (20k /yr)                                     ","                                    	$1,202 /yr","$72,890","1,991 cc                                    ","                                    1,655 kg                                    ",2014,Auto,"$45,353",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
405,Mitsubishi Outlander 2.4A Sunroof,info.php?ID=952847&DL=1213,"$76,800 ","                                $11,210 /yrView models with similar depre ",01-Sep-2016(5yrs 8mths 15days COE left)                            ,"                                        57,326 km (13.4k /yr)                                     ","                                    	$1,636 /yr","$57,508","2,360 cc                                    ","                                    1,530 kg                                    ",2016,Auto,"$24,005",123.0 kW (164 bhp),1,SUV,"Category
PARF Car "
406,Toyota Wish 1.8A Elegance,info.php?ID=952844&DL=1089,"$65,800 ","                                $10,280 /yrView models with similar depre ",23-May-2016(5yrs 5mths 6days COE left)                            ,"                                        30,000 km (6.6k /yr)                                     ",                                    	$976 /yr,"$46,502","1,798 cc                                    ","                                    1,360 kg                                    ",2016,Auto,"$19,953",105.0 kW (140 bhp),1,MPV,"Category
PARF Car, Low Mileage Car "
407,Toyota Vios 1.5A E (COE till 11/2023),info.php?ID=952822&DL=3597,"$18,888 ","                                $6,470 /yr                            ",18-Nov-2008(2yrs 11mths 1day COE left)                            ,"                                        118,268 km (9.8k /yr)                                     ",                                    	$889 /yr,"$14,835","1,497 cc                                    ","                                    1,095 kg                                    ",2008,Auto,"$11,834",80.0 kW (107 bhp),3,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car, Low Mileage Car "
408,Nissan Qashqai 1.2A DIG-T,info.php?ID=952812&DL=3597,"$56,588 ","                                $9,050 /yrView models with similar depre ",15-Jun-2016(5yrs 5mths 29days COE left)                            ,"                                        99,534 km (22.1k /yr)                                     ",                                    	$508 /yr,"$47,020","1,197 cc                                    ","                                    1,285 kg                                    ",2016,Auto,"$18,689",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
409,Nissan Qashqai 1.2A DIG-T,info.php?ID=952810&DL=3597,"$52,588 ","                                $9,050 /yrView models with similar depre ",09-Jan-2016(5yrs 23days COE left)                            ,                                        N.A.                                     ,                                    	$508 /yr,"$56,001","1,197 cc                                    ","                                    1,285 kg                                    ",2015,Auto,"$18,454",85.0 kW (113 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
410,Mercedes-Benz A-Class A180 Style,info.php?ID=952807&DL=3597,"$81,888 ","                                $12,730 /yrView models with similar depre ",16-Aug-2016(5yrs 7mths 30days COE left)                            ,"                                        90,438 km (20.9k /yr)                                     ",                                    	$740 /yr,"$47,020","1,595 cc                                    ","                                    1,395 kg                                    ",2016,Auto,"$23,217",90.0 kW (120 bhp),2,Hatchback,"Category
PARF Car, Premium Ad Car "
411,Mercedes-Benz A-Class A180 Style,info.php?ID=952805&DL=3597,"$88,888 ","                                $13,010 /yrView models with similar depre ",12-Jan-2017(6yrs 26days COE left)                            ,"                                        63,410 km (16.1k /yr)                                     ",                                    	$740 /yr,"$50,991","1,595 cc                                    ","                                    1,395 kg                                    ",2016,Auto,"$23,345",90.0 kW (120 bhp),2,Hatchback,"Category
PARF Car, Premium Ad Car "
412,BMW 5 Series 523i (COE till 12/2030),info.php?ID=952799&DL=2080,"$73,800 ","                                $7,380 /yr                            ",16-Dec-2010(9yrs 11mths 29days COE left)                            ,                                        N.A.                                     ,"                                    	$1,796 /yr","$40,714","2,497 cc                                    ","                                    1,650 kg                                    ",2010,Auto,"$43,766",150.0 kW (201 bhp),3,Luxury Sedan,"Category
COE Car, Premium Ad Car "
413,Toyota Harrier 2.0A Premium Panoramic,info.php?ID=952454&DL=2754,"$91,000 ","                                $12,400 /yrView models with similar depre ",19-Jan-2017(6yrs 1mth 2days COE left)                            ,"                                        57,500 km (14.7k /yr)                                     ","                                    	$1,196 /yr","$53,106","1,986 cc                                    ","                                    1,610 kg                                    ",2016,Auto,"$31,368",111.0 kW (148 bhp),1,SUV,"Category
PARF Car "
414,Toyota Corolla Altis 1.6A (New 10-yr COE),info.php?ID=950680&DL=3357,"$55,888 ","                                $5,590 /yr                            ",20-Jan-2011(10yrs  COE left)                            ,"                                        100,000 km (10.1k /yr)                                     ",                                    	$742 /yr,N.A.,"1,598 cc                                    ","                                    1,195 kg                                    ",2010,Auto,"$16,446",90.0 kW (120 bhp),2,Mid-Sized Sedan,"Category
COE Car "
415,MINI Cooper Countryman 1.6A (New 10-yr COE),info.php?ID=947535&DL=2953,"$65,800 ","                                $6,580 /yr                            ",14-Jan-2011(10yrs  COE left)                            ,"                                        160,000 km (16.1k /yr)                                     ",                                    	$742 /yr,N.A.,"1,598 cc                                    ","                                    1,295 kg                                    ",2010,Auto,"$25,272",88.0 kW (118 bhp),4,Hatchback,"Category
COE Car "
416,Porsche Boxster 2.9A PDK (COE till 10/2030),info.php?ID=952786&DL=3754,"$143,500 ","                                $14,540 /yr                            ",28-Oct-2010(9yrs 10mths 11days COE left)                            ,                                        N.A.                                     ,"                                    	$2,486 /yr","$38,216","2,893 cc                                    ","                                    1,440 kg                                    ",2010,Auto,"$70,675",188.0 kW (252 bhp),5,Sports Car,"Category
COE Car "
417,Toyota Wish 1.8A (New 10-yr COE),info.php?ID=947118&DL=2953,"$62,800 ","                                $6,280 /yr                            ",14-Dec-2010(10yrs  COE left)                            ,"                                        147,000 km (14.7k /yr)                                     ",                                    	$976 /yr,N.A.,"1,798 cc                                    ","                                    1,360 kg                                    ",2010,Auto,"$21,503",106.0 kW (142 bhp),3,MPV,"Category
COE Car "
418,Toyota Corolla Altis 1.6A (COE till 10/2030),info.php?ID=940728&DL=2953,"$54,800 ","                                $5,560 /yr                            ",25-Oct-2010(9yrs 10mths 8days COE left)                            ,"                                        130,000 km (12.8k /yr)                                     ",                                    	$816 /yr,"$35,200","1,598 cc                                    ","                                    1,195 kg                                    ",2010,Auto,"$16,446",90.0 kW (120 bhp),1,Mid-Sized Sedan,"Category
COE Car "
419,BMW 3 Series 335i (COE till 10/2029),info.php?ID=935102&DL=3662,"$72,800 ","                                $8,200 /yr                            ",12-Nov-2009(8yrs 10mths 15days COE left)                            ,"                                        131,000 km (11.8k /yr)                                     ","                                    	$2,834 /yr","$37,502","2,979 cc                                    ","                                    1,810 kg                                    ",2009,Auto,"$68,188",225.0 kW (301 bhp),4,Luxury Sedan,"Category
COE Car, Premium Ad Car "
420,Volkswagen Touran Sport 1.4A TSI (COE till 04/2024),info.php?ID=934841&DL=3577,"$23,800 ","                                $7,060 /yr                            ",30-Apr-2009(3yrs 4mths 13days COE left)                            ,"                                        175,000 km (15k /yr)                                     ",                                    	$744 /yr,"$13,088","1,390 cc                                    ","                                    1,568 kg                                    ",2009,Auto,"$25,859",125.0 kW (167 bhp),5,MPV,"Category
COE Car, Consignment Car "
421,Audi A6 2.0A TFSI MU (New 10-yr COE),info.php?ID=928897&DL=1000,"$88,000 ","                                $8,800 /yr                            ",14-Dec-2011(10yrs  COE left)                            ,"                                        123,779 km (13.7k /yr)                                     ","                                    	$1,194 /yr",N.A.,"1,984 cc                                    ","                                    1,565 kg                                    ",2011,Auto,"$43,769",132.0 kW (177 bhp),3,Luxury Sedan,"Category
COE Car, Direct Owner Sale "
422,Ferrari 458 Italia (New 10-yr COE),info.php?ID=928852&DL=1000,"$458,000 ","                                $45,770 /yr                            ",01-Dec-2010(10yrs  COE left)                            ,"                                        29,000 km (2.9k /yr)                                     ","                                    	$4,728 /yr",N.A.,"4,497 cc                                    ","                                    1,515 kg                                    ",2010,Auto,"$315,288",416.0 kW (557 bhp),3,Sports Car,"Category
COE Car, Direct Owner Sale, Rare & Exotic, Low Mileage Car "
423,Toyota Camry Hybrid 2.5A Ascent Sport,info.php?ID=916775&DL=2292,"$128,988 ","                                $12,210 /yrView models with similar depre ",05-Aug-2020(9yrs 7mths 19days COE left)                            ,                                        11 km                                     ,"                                    	$1,784 /yr","$34,989","2,487 cc                                    ","                                    1,570 kg                                    ",2020,Auto,"$29,011",160.0 kW (214 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car, Premium Ad Car, Low Mileage Car, Hybrid Cars "
424,Mercedes-Benz A-Class A45 AMG 4MATIC,info.php?ID=916357&DL=3367,"$188,888 ","                                $22,130 /yrView models with similar depre ",21-Dec-2017(7yrs 4days COE left)                            ,"                                        50,000 km (16.7k /yr)                                     ","                                    	$1,202 /yr","$49,802","1,991 cc                                    ","                                    1,555 kg                                    ",2017,Auto,"$52,982",280.0 kW (375 bhp),3,Hatchback,"Category
PARF Car, Premium Ad Car "
425,Toyota Camry 2.0A (COE till 03/2029),info.php?ID=896977&DL=2356,"$49,800 ","                                $6,000 /yr                            ",26-May-2009(8yrs 3mths 15days COE left)                            ,"                                        162,827 km (14.1k /yr)                                     ","                                    	$1,452 /yr","$33,018","1,998 cc                                    ","                                    1,530 kg                                    ",2009,Auto,"$26,727",108.0 kW (144 bhp),3,Luxury Sedan,"Category
COE Car, Premium Ad Car "
426,Mercedes-Benz GLC-Class Coupe GLC43 AMG 4MATIC Premium Plus,info.php?ID=896974&DL=2010,"$319,988 ","                                $28,700 /yrView models with similar depre ",27-Mar-2020(9yrs 3mths 10days COE left)                            ,                                        79 km                                     ,"                                    	$2,382 /yr","$30,012","2,996 cc                                    ","                                    1,880 kg                                    ",2019,Auto,"$75,215",287.0  kW (384  bhp),1,SUV,"Category
PARF Car, Rare & Exotic, Almost New Car, Premium Ad Car, Low Mileage Car "
427,Bentley Continental GT 4.0A V8 S,info.php?ID=868639&DL=2904,"$453,888 ","                                $69,190 /yrView models with similar depre ",18-Mar-2015(4yrs 3mths 1day COE left)                            ,"                                        6,500 km (1.1k /yr)                                     ","                                    	$3,940 /yr","$71,921","3,993 cc                                    ","                                    2,295 kg                                    ",2014,Auto,"$192,998",388.0 kW (520 bhp),1,Sports Car,"Category
PARF Car, Rare & Exotic, Consignment Car, Low Mileage Car "
428,Toyota Wish 1.8A (COE till 03/2024),info.php?ID=853883&DL=3214,"$28,800 ","                                $8,840 /yr                            ",20-Mar-2009(3yrs 3mths 3days COE left)                            ,"                                        178,000 km (15.1k /yr)                                     ","                                    	$1,166 /yr","$16,509","1,794 cc                                    ","                                    1,310 kg                                    ",2009,Auto,"$18,662",97.0 kW (130 bhp),4,MPV,"Category
COE Car, Consignment Car "
429,Aston Martin V8 Vantage N430 Coupe Sportshift II,info.php?ID=723761&DL=3064,"$383,000 ","                                $47,130 /yrView models with similar depre ",08-Nov-2016(5yrs 10mths 22days COE left)                            ,"                                        19,500 km (4.7k /yr)                                     ","                                    	$5,100 /yr","$56,340","4,735 cc                                    ","                                    1,610 kg                                    ",2015,Auto,"$132,387",320.7 kW (430 bhp),1,Sports Car,"Category
PARF Car, Rare & Exotic, Premium Ad Car, Low Mileage Car "
430,Volvo S60 T2,info.php?ID=952840&DL=1213,"$99,800 ","                                $11,360 /yrView models with similar depre ",07-May-2018(7yrs 4mths 20days COE left)                            ,"                                        39,592 km (15.1k /yr)                                     ",                                    	$684 /yr,"$36,810","1,498 cc                                    ","                                    1,597 kg                                    ",2018,Auto,"$28,344",90.0 kW (120 bhp),1,Stationwagon,"Category
PARF Car "
431,Volvo S60 T2,info.php?ID=952839&DL=1213,"$73,800 ","                                $10,090 /yrView models with similar depre ",30-Nov-2016(5yrs 11mths 13days COE left)                            ,"                                        38,656 km (9.6k /yr)                                     ",                                    	$684 /yr,"$52,668","1,498 cc                                    ","                                    1,589 kg                                    ",2016,Auto,"$25,281",90.0 kW (120 bhp),2,Luxury Sedan,"Category
PARF Car, Low Mileage Car "
432,Mercedes-Benz GLA-Class GLA180 Urban Edition,info.php?ID=952838&DL=3710,"$133,888 ","                                $12,970 /yrView models with similar depre ",06-Mar-2020(9yrs 2mths 17days COE left)                            ,"                                        3,049 km                                     ",                                    	$740 /yr,"$32,699","1,595 cc                                    ","                                    1,435 kg                                    ",2019,Auto,"$26,121",90.0 kW (120 bhp),1,SUV,"Category
PARF Car, Almost New Car, Low Mileage Car "
